Tile,class,x,y
C9629,1,296500,429500
C9729,1,297500,429500
C9829,1,298500,429500
C9929,1,299500,429500
D0029,1,300500,429500
D0129,1,301500,429500
D0229,1,302500,429500
D0329,1,303500,429500
D0429,1,304500,429500
D0529,1,305500,429500
D0629,2,306500,429500
D0729,2,307500,429500
D0829,1,308500,429500
D0929,1,309500,429500
D1029,2,310500,429500
D1129,1,311500,429500
D1229,1,312500,429500
D1329,1,313500,429500
D1429,1,314500,429500
D1529,1,315500,429500
D1629,1,316500,429500
D1729,1,317500,429500
D1829,1,318500,429500
D1929,1,319500,429500
D2029,1,320500,429500
D2129,1,321500,429500
D2229,1,322500,429500
D2329,1,323500,429500
D2429,1,324500,429500
D2529,1,325500,429500
C6228,1,262500,428500
C6328,1,263500,428500
C6428,1,264500,428500
C6528,1,265500,428500
C6628,1,266500,428500
C6728,2,267500,428500
C6828,2,268500,428500
C6928,2,269500,428500
C7028,2,270500,428500
C7128,2,271500,428500
C7228,1,272500,428500
C7328,1,273500,428500
C7428,1,274500,428500
C7528,1,275500,428500
C7628,1,276500,428500
C7728,1,277500,428500
C7828,1,278500,428500
C7928,1,279500,428500
C8028,1,280500,428500
C8128,1,281500,428500
C8228,1,282500,428500
C8328,1,283500,428500
C8428,1,284500,428500
C8528,1,285500,428500
C8628,1,286500,428500
C8728,1,287500,428500
C8828,1,288500,428500
C8928,1,289500,428500
C9028,1,290500,428500
C9128,1,291500,428500
C9228,1,292500,428500
C9328,1,293500,428500
C9428,1,294500,428500
C9528,1,295500,428500
C9628,1,296500,428500
C9728,1,297500,428500
C9828,1,298500,428500
C9928,1,299500,428500
D0028,1,300500,428500
D0128,1,301500,428500
D0228,1,302500,428500
D0328,1,303500,428500
D0428,1,304500,428500
D0528,1,305500,428500
D0628,1,306500,428500
D0728,2,307500,428500
D0828,1,308500,428500
D0928,1,309500,428500
D1028,1,310500,428500
D1128,1,311500,428500
D1228,1,312500,428500
D1328,1,313500,428500
D1428,1,314500,428500
D1528,1,315500,428500
D1628,1,316500,428500
D1728,1,317500,428500
D1828,1,318500,428500
D1928,1,319500,428500
D2028,1,320500,428500
D2128,1,321500,428500
D2228,4,322500,428500
D2328,2,323500,428500
D2428,2,324500,428500
D2528,1,325500,428500
C6227,1,262500,427500
C6327,1,263500,427500
C6427,1,264500,427500
C6527,1,265500,427500
C6627,1,266500,427500
C6727,2,267500,427500
C6827,1,268500,427500
C6927,2,269500,427500
C7027,2,270500,427500
C7127,2,271500,427500
C7227,2,272500,427500
C7327,1,273500,427500
C7427,1,274500,427500
C7527,1,275500,427500
C7627,1,276500,427500
C7727,1,277500,427500
C7827,1,278500,427500
C7927,1,279500,427500
C8027,1,280500,427500
C8127,1,281500,427500
C8227,1,282500,427500
C8327,1,283500,427500
C8427,1,284500,427500
C8527,1,285500,427500
C8627,1,286500,427500
C8727,1,287500,427500
C8827,1,288500,427500
C8927,1,289500,427500
C9027,1,290500,427500
C9127,1,291500,427500
C9227,1,292500,427500
C9327,1,293500,427500
C9427,1,294500,427500
C9527,1,295500,427500
C9627,1,296500,427500
C9727,1,297500,427500
C9827,1,298500,427500
C9927,1,299500,427500
D0027,1,300500,427500
D0127,1,301500,427500
D0227,1,302500,427500
D0327,1,303500,427500
D0427,1,304500,427500
D0527,1,305500,427500
D0627,1,306500,427500
D0727,2,307500,427500
D0827,1,308500,427500
D0927,1,309500,427500
D1027,4,310500,427500
D1127,1,311500,427500
D1227,1,312500,427500
D1327,1,313500,427500
D1427,2,314500,427500
D1527,4,315500,427500
D1627,4,316500,427500
